(554, 511)
(86, 657)
(752, 34)
(334, 1613)
(493, 369)
(616, 764)
(549, 393)
(21, 788)
(366, 63)
(565, 40)
(737, 9)
(481, 615)
(23, 25)
(372, 90)
(189, 221)
(518, 70)
(321, 48)
(251, 922)
(54, 61)
(342, 774)
(516, 225)
(145, 177)
(545, 830)
(38, 768)
(603, 400)
(107, 1025)
(84, 198)
(31, 660)
(868, 66)
(87, 869)
(254, 463)
(276, 916)
(331, 509)
(22, 452)
(615, 0)
(704, 1244)
(221, 1053)
(35, 384)
(65, 749)
(152, 122)
(374, 1061)
(230, 877)
(138, 605)
(130, 430)
(425, 966)
(268, 30)
(15, 312)
(131, 464)
(392, 467)
(214, 234)
(326, 47)
(563, 346)
(474, 357)
(746, 728)
(30, 453)
(70, 1212)
(100, 450)
(367, 688)
(454, 664)
(607, 188)
(233, 603)
(719, 863)
(384, 561)
(74, 62)
(261, 928)
(91, 1055)
(693, 498)
(69, 663)
(68, 818)
(29, 1108)
(332, 772)
(103, 170)
(401, 187)
(483, 462)
(55, 356)
(383, 722)
(195, 1000)
(10, 579)
(76, 591)
(133, 266)
(329, 884)
(320, 500)
(527, 227)
(562, 72)
(728, 10)
(547, 367)
(580, 412)
(18, 421)
(0, 3)
(368, 568)
(58, 218)
(159, 292)
(821, 261)
(198, 970)
(260, 686)
(345, 473)
(417, 133)
(51, 423)
(502, 8)
(609, 538)
(576, 541)
(250, 933)
(190, 468)
(413, 602)
(66, 817)
(500, 4)
(404, 134)
(470, 39)
(248, 73)
(303, 299)
(407, 45)
(469, 158)
(517, 33)
(141, 1)
(710, 11)
(635, 16)
(215, 894)
(600, 231)
(581, 513)
(112, 260)
(594, 5)
(601, 390)
(642, 391)
(72, 151)
(39, 19)
(353, 21)
(101, 23)
(652, 168)
(577, 169)
(507, 199)
(790, 435)
(583, 53)
(244, 455)
(325, 712)
(17, 74)
(284, 86)
(178, 217)
(866, 220)
(783, 226)
(828, 105)
(734, 618)
(394, 123)
(67, 129)
(44, 259)
(681, 263)
(395, 87)
(670, 17)
(234, 914)
(862, 515)
(278, 148)
(492, 407)
(599, 280)
(330, 27)
(602, 156)
(645, 544)
(120, 166)
(453, 306)
(680, 46)
(592, 178)
(158, 322)
(623, 709)
(436, 78)
(140, 593)
(26, 846)
(356, 343)
(471, 479)
(1, 1128)
(660, 236)
(646, 18)
(553, 624)
(551, 119)
(510, 121)
(420, 378)
(27, 897)
(391, 776)
(13, 396)
(218, 536)
(567, 794)
(216, 539)
(463, 157)
(351, 1054)
(838, 161)
(126, 167)
(319, 49)
(338, 571)
(611, 196)
(767, 325)
(505, 97)
(264, 331)
(462, 482)
(339, 1233)
(402, 83)
(782, 84)
(776, 474)
(459, 92)
(806, 222)
(286, 737)
(588, 98)
(246, 360)
(393, 233)
(550, 363)
(315, 104)
(403, 246)
(815, 376)
(675, 125)
(371, 640)
(63, 386)
(561, 747)
(231, 648)
(153, 141)
(740, 154)
(149, 672)
(552, 162)
(606, 41)
(531, 176)
(513, 181)
(256, 440)
(490, 191)
(526, 192)
(431, 1056)
(464, 197)
(33, 972)
(142, 1058)
(461, 491)
(161, 239)
(373, 247)
(787, 127)
